review_id,product_id,customer_id,rating,review_text,review_date
1,9,14,5,Good build quality.,2023-05-30
2,146,6,4,Product works as expected.,2023-04-16
3,4,42,5,Very happy with this item.,2023-10-19
4,117,57,5,Amazing product quality.,2023-03-15
5,13,59,4,Very satisfied with this purchase.,2023-06-07
6,135,83,4,Fantastic customer experience.,2023-05-04
7,94,78,4,Great value for money.,2023-03-27
8,81,25,5,Very happy with this item.,2023-09-07
9,107,97,4,Great design and functionality.,2023-02-02
10,82,73,3,Fantastic customer experience.,2023-07-19
11,10,48,4,Great value for money.,2023-04-09
12,63,20,5,Amazing product quality.,2023-10-13
13,124,77,4,Product works as expected.,2023-07-14
14,78,68,5,Arrived quickly and well packaged.,2023-04-03
15,147,100,4,Exactly what I was looking for.,2023-07-05
16,11,15,5,Great design and functionality.,2023-06-02
17,22,21,3,Reliable and durable.,2023-03-17
18,68,69,5,Fantastic customer experience.,2023-05-15
19,105,15,4,Great design and functionality.,2023-06-06
20,56,80,4,Exceeded my expectations.,2023-09-11
21,134,14,3,Great value for money.,2023-10-30
22,144,62,5,Fantastic customer experience.,2023-10-01
23,22,61,5,Would buy again!,2023-03-17
24,42,22,4,High quality materials.,2023-01-24
25,51,65,5,Very happy with this item.,2023-01-24
26,10,48,4,Good build quality.,2023-07-07
27,21,16,5,High quality materials.,2023-06-05
28,97,29,4,Great value for money.,2023-03-22
29,71,75,4,Great value for money.,2023-06-21
30,135,50,4,Perfect for my needs.,2023-09-11
31,92,98,5,Good build quality.,2023-05-19
32,122,84,5,Great value for money.,2023-07-01
33,111,64,5,Fantastic customer experience.,2023-01-21
34,105,96,5,Excellent product! Highly recommended.,2023-02-27
35,17,14,5,Fast shipping and great customer service.,2023-09-25
36,58,87,4,High quality materials.,2023-10-05
37,108,38,5,Arrived quickly and well packaged.,2023-03-09
38,52,22,4,Easy to use and setup.,2023-10-14
39,11,62,2,Good build quality.,2023-09-17
40,74,4,4,Exceeded my expectations.,2023-01-03
41,95,62,4,Reliable and durable.,2023-06-10
42,47,73,4,High quality materials.,2023-06-21
43,48,79,5,Works perfectly.,2023-09-16
44,86,67,5,Excellent product! Highly recommended.,2023-09-29
45,35,12,4,Very satisfied with this purchase.,2023-02-07
46,107,57,5,Fast shipping and great customer service.,2023-05-31
47,123,34,5,Reliable and durable.,2023-01-23
48,95,95,5,Very satisfied with this purchase.,2023-09-29
49,57,78,3,Very happy with this item.,2023-09-19
50,71,22,5,Great value for money.,2023-05-25
51,21,75,5,Good build quality.,2023-05-01
52,101,5,3,Reliable and durable.,2023-08-20
53,147,51,5,Would buy again!,2023-02-17
54,78,80,5,Good build quality.,2023-05-12
55,135,18,3,Exceeded my expectations.,2023-03-26
56,112,82,5,Works perfectly.,2023-04-20
57,12,49,4,Reliable and durable.,2023-05-07
58,82,37,4,Arrived quickly and well packaged.,2023-08-02
59,21,41,5,Exactly what I was looking for.,2023-01-26
60,108,1,5,Good build quality.,2023-03-21
61,144,13,4,Product works as expected.,2023-03-16
62,16,87,5,Amazing product quality.,2023-01-21
63,143,18,4,Amazing product quality.,2023-01-19
64,144,35,5,Reliable and durable.,2023-06-10
65,97,95,5,Easy to use and setup.,2023-06-21
66,130,70,5,Reliable and durable.,2023-04-14
67,66,12,4,Works perfectly.,2023-10-21
68,5,79,5,Good quality for the price.,2023-10-27
69,116,66,5,Easy to use and setup.,2023-07-16
70,109,94,5,Very happy with this item.,2023-08-03
71,150,44,4,Works perfectly.,2023-04-19
72,73,95,5,Exceeded my expectations.,2023-08-09
73,37,43,4,Fast shipping and great customer service.,2023-09-13
74,148,47,4,Good build quality.,2023-04-27
75,95,47,4,Fast shipping and great customer service.,2023-10-22
76,51,74,5,Product works as expected.,2023-05-08
77,21,65,3,Works perfectly.,2023-10-06
78,102,93,4,Reliable and durable.,2023-04-10
79,42,63,4,Arrived quickly and well packaged.,2023-01-02
80,99,95,4,Good quality for the price.,2023-06-23
81,57,65,4,Great value for money.,2023-08-29
82,124,47,5,Good build quality.,2023-08-16
83,26,36,5,Exactly what I was looking for.,2023-07-10
84,141,67,3,Amazing product quality.,2023-07-25
85,95,3,4,Easy to use and setup.,2023-01-01
86,65,77,5,Reliable and durable.,2023-02-06
87,149,77,4,Excellent product! Highly recommended.,2023-04-10
88,103,10,3,Perfect for my needs.,2023-01-03
89,144,39,5,Great value for money.,2023-07-23
90,12,58,4,Great design and functionality.,2023-01-24
91,113,42,5,Easy to use and setup.,2023-01-02
92,99,76,5,Amazing product quality.,2023-01-13
93,6,14,5,Works perfectly.,2023-08-24
94,102,68,4,Very satisfied with this purchase.,2023-07-16
95,13,4,5,Product works as expected.,2023-01-08
96,19,12,4,High quality materials.,2023-03-09
97,139,26,5,Product works as expected.,2023-04-30
98,84,90,5,Very happy with this item.,2023-02-05
99,130,87,4,Very satisfied with this purchase.,2023-09-16
100,92,8,5,Very satisfied with this purchase.,2023-01-21
101,71,43,5,Works perfectly.,2023-02-18
102,19,75,4,Easy to use and setup.,2023-08-08
103,78,69,5,Perfect for my needs.,2023-09-21
104,145,49,5,Good quality for the price.,2023-10-02
105,9,11,3,Fantastic customer experience.,2023-08-26
106,22,78,4,Good quality for the price.,2023-06-17
107,132,41,5,Good quality for the price.,2023-07-15
108,130,22,5,Would buy again!,2023-03-05
109,22,37,5,Excellent product! Highly recommended.,2023-05-26
110,141,7,1,Works perfectly.,2023-05-06
111,107,19,5,Fantastic customer experience.,2023-09-28
112,37,54,4,Perfect for my needs.,2023-06-28
113,97,86,1,Very satisfied with this purchase.,2023-03-31
114,60,81,5,Very satisfied with this purchase.,2023-03-01
115,117,91,4,Reliable and durable.,2023-07-19
116,4,79,5,Exceeded my expectations.,2023-03-31
117,60,30,5,Excellent product! Highly recommended.,2023-08-13
118,20,5,4,Amazing product quality.,2023-08-11
119,99,98,5,Product works as expected.,2023-05-27
120,70,90,5,Exactly what I was looking for.,2023-03-04
121,48,29,5,Very happy with this item.,2023-01-12
122,49,48,5,Arrived quickly and well packaged.,2023-01-15
123,127,10,5,Fantastic customer experience.,2023-03-12
124,116,15,3,Excellent product! Highly recommended.,2023-04-02
125,122,46,5,Very happy with this item.,2023-05-02
126,50,73,4,Good quality for the price.,2023-03-02
127,146,29,4,Fast shipping and great customer service.,2023-01-21
128,136,56,5,Would buy again!,2023-04-09
129,12,15,5,Product works as expected.,2023-09-20
130,38,54,4,Would buy again!,2023-04-02
131,109,38,4,Amazing product quality.,2023-09-29
132,137,87,5,Fantastic customer experience.,2023-08-12
133,108,85,4,Fantastic customer experience.,2023-09-10
134,32,91,5,Very satisfied with this purchase.,2023-09-16
135,125,80,5,Arrived quickly and well packaged.,2023-01-26
136,88,66,4,Works perfectly.,2023-05-05
137,55,64,4,Fantastic customer experience.,2023-01-08
138,71,8,1,Would buy again!,2023-07-28
139,63,6,3,Very satisfied with this purchase.,2023-05-13
140,58,92,5,Arrived quickly and well packaged.,2023-03-15
141,7,70,2,Perfect for my needs.,2023-02-08
142,130,73,5,Reliable and durable.,2023-07-11
143,100,25,4,High quality materials.,2023-03-29
144,120,31,2,Good quality for the price.,2023-04-10
145,102,70,4,Excellent product! Highly recommended.,2023-05-27
146,135,29,5,Fast shipping and great customer service.,2023-06-24
147,54,91,5,Fast shipping and great customer service.,2023-09-17
148,32,28,5,Exceeded my expectations.,2023-03-04
149,82,87,5,Fantastic customer experience.,2023-07-12
150,71,66,5,Great design and functionality.,2023-07-06
151,18,100,5,Very satisfied with this purchase.,2023-04-11
152,66,51,4,Good build quality.,2023-10-19
153,95,97,4,Easy to use and setup.,2023-01-21
154,28,71,4,Amazing product quality.,2023-03-08
155,89,64,5,Good build quality.,2023-10-29
156,26,3,3,Good quality for the price.,2023-04-10
157,143,48,5,Perfect for my needs.,2023-08-06
158,52,74,5,Perfect for my needs.,2023-03-09
159,23,25,4,Exceeded my expectations.,2023-05-07
160,13,9,1,Arrived quickly and well packaged.,2023-03-05
161,141,32,5,Very satisfied with this purchase.,2023-09-22
162,130,46,4,Arrived quickly and well packaged.,2023-10-08
163,33,4,1,Works perfectly.,2023-08-07
164,41,87,4,Amazing product quality.,2023-09-20
165,135,79,4,Would buy again!,2023-06-02
166,127,83,3,Easy to use and setup.,2023-05-11
167,78,37,5,Good quality for the price.,2023-04-14
168,55,38,3,Very happy with this item.,2023-06-30
169,130,50,4,Reliable and durable.,2023-06-28
170,5,91,4,Good build quality.,2023-07-04
171,44,98,5,Arrived quickly and well packaged.,2023-05-23
172,121,88,4,Excellent product! Highly recommended.,2023-01-20
173,74,32,3,Fantastic customer experience.,2023-04-30
174,109,54,4,Good quality for the price.,2023-10-06
175,57,4,5,Great value for money.,2023-01-20
176,122,55,5,Exceeded my expectations.,2023-06-20
177,140,55,4,Perfect for my needs.,2023-09-26
178,26,89,5,Good quality for the price.,2023-07-15
179,66,59,4,Exactly what I was looking for.,2023-05-24
180,76,20,5,Amazing product quality.,2023-01-20
181,59,60,5,Good quality for the price.,2023-05-21
182,119,82,5,Fast shipping and great customer service.,2023-05-04
183,81,42,5,Easy to use and setup.,2023-08-15
184,113,22,5,Very happy with this item.,2023-01-21
185,119,79,4,Great design and functionality.,2023-04-05
186,37,4,3,Good quality for the price.,2023-03-03
187,94,69,1,Would buy again!,2023-05-27
188,34,32,2,Exceeded my expectations.,2023-05-31
189,87,3,4,Perfect for my needs.,2023-03-13
190,27,13,5,Good build quality.,2023-08-19
191,8,100,3,Good build quality.,2023-07-20
192,8,77,3,Product works as expected.,2023-04-13
193,89,90,3,Fast shipping and great customer service.,2023-01-22
194,97,11,3,Great design and functionality.,2023-09-20
195,150,64,5,Great design and functionality.,2023-02-19
196,115,52,4,Easy to use and setup.,2023-07-28
197,57,96,4,Good build quality.,2023-10-27
198,19,46,5,Perfect for my needs.,2023-07-06
199,101,74,5,Perfect for my needs.,2023-10-03
200,91,81,5,Good build quality.,2023-06-23
